0,1
Date,Gold Price per Gram
Current Price,31588.4 LKR
25-Feb-2024,20297.3  LKR
24-Feb-2024,20302.5  LKR
23-Feb-2024,20337.7  LKR
22-Feb-2024,20189  LKR
21-Feb-2024,20264.6  LKR
20-Feb-2024,20336.9  LKR
19-Feb-2024,20247.1  LKR
18-Feb-2024,20198.3  LKR
17-Feb-2024,20198.3  LKR
16-Feb-2024,20188  LKR
15-Feb-2024,20121.9  LKR
14-Feb-2024,20017.1  LKR
13-Feb-2024,20037.7  LKR
12-Feb-2024,20253.9  LKR
11-Feb-2024,20324.4  LKR
10-Feb-2024,20324.4  LKR
09-Feb-2024,20339.8  LKR
08-Feb-2024,20454.6  LKR
07-Feb-2024,20469.9  LKR
06-Feb-2024,20543.2  LKR
05-Feb-2024,20332.6  LKR
04-Feb-2024,20435.1  LKR
03-Feb-2024,20435.1  LKR
02-Feb-2024,20413.2  LKR
01-Feb-2024,20809.2  LKR
31-Jan-2024,20623  LKR
30-Jan-2024,20723.5  LKR
29-Jan-2024,20714.8  LKR
28-Jan-2024,20605.1  LKR
27-Jan-2024,20605.1  LKR
26-Jan-2024,20714.9  LKR
25-Jan-2024,20642  LKR
24-Jan-2024,20697.1  LKR
23-Jan-2024,20834.2  LKR
22-Jan-2024,20750.4  LKR
21-Jan-2024,20889.1  LKR
20-Jan-2024,20889.1  LKR
19-Jan-2024,20883.6  LKR
18-Jan-2024,20834.9  LKR
17-Jan-2024,20741.9  LKR
16-Jan-2024,20953.9  LKR
15-Jan-2024,21240.2  LKR
14-Jan-2024,21171.7  LKR
13-Jan-2024,21171.7  LKR
12-Jan-2024,21168.8  LKR
11-Jan-2024,20997.8  LKR
10-Jan-2024,20993.5  LKR
09-Jan-2024,21015.8  LKR
08-Jan-2024,20998.3  LKR
07-Jan-2024,21184.1  LKR
06-Jan-2024,21184.1  LKR
05-Jan-2024,21263  LKR
04-Jan-2024,21191.5  LKR
03-Jan-2024,21125.4  LKR
02-Jan-2024,21485.9  LKR
01-Jan-2024,21508.2  LKR
31-Dec-2023,21488.7  LKR
30-Dec-2023,21449.6  LKR
29-Dec-2023,21489.3  LKR
28-Dec-2023,21613.5  LKR
27-Dec-2023,21746.4  LKR
26-Dec-2023,21594.7  LKR
25-Dec-2023,21490.6  LKR
24-Dec-2023,21449.3  LKR
23-Dec-2023,21449.3  LKR
22-Dec-2023,21485.2  LKR
21-Dec-2023,21432.5  LKR
20-Dec-2023,21335.8  LKR
19-Dec-2023,21405.1  LKR
18-Dec-2023,21265.5  LKR
17-Dec-2023,21316.4  LKR
16-Dec-2023,21316.4  LKR
15-Dec-2023,21201.4  LKR
14-Dec-2023,21336.5  LKR
13-Dec-2023,21164.3  LKR
12-Dec-2023,20807.1  LKR
11-Dec-2023,20837.7  LKR
10-Dec-2023,21080.5  LKR
09-Dec-2023,21080.5  LKR
08-Dec-2023,21026.5  LKR
07-Dec-2023,21323.8  LKR
06-Dec-2023,21418.9  LKR
05-Dec-2023,21279.3  LKR
04-Dec-2023,21412.2  LKR
03-Dec-2023,21840  LKR
02-Dec-2023,21840  LKR
01-Dec-2023,21810.6  LKR
30-Nov-2023,21449  LKR
29-Nov-2023,21624.3  LKR
28-Nov-2023,21575.4  LKR
27-Nov-2023,21279.7  LKR
26-Nov-2023,21048.9  LKR
25-Nov-2023,21048.9  LKR
24-Nov-2023,21104.8  LKR
23-Nov-2023,21049.2  LKR
22-Nov-2023,21026.7  LKR
21-Nov-2023,20969.8  LKR
20-Nov-2023,20799.4  LKR
19-Nov-2023,20755.5  LKR
18-Nov-2023,20755.5  LKR
17-Nov-2023,20850.3  LKR
16-Nov-2023,20913.8  LKR
15-Nov-2023,20723.3  LKR
14-Nov-2023,20661  LKR
13-Nov-2023,20443.2  LKR
12-Nov-2023,20304.2  LKR
11-Nov-2023,20304.2  LKR
10-Nov-2023,20338  LKR
09-Nov-2023,20593.8  LKR
08-Nov-2023,20568.4  LKR
07-Nov-2023,20661.2  LKR
06-Nov-2023,20785.4  LKR
05-Nov-2023,20873.9  LKR
04-Nov-2023,20873.9  LKR
03-Nov-2023,21031  LKR
02-Nov-2023,20946.2  LKR
01-Nov-2023,20823.3  LKR
31-Oct-2023,20895.5  LKR
30-Oct-2023,20970.2  LKR
29-Oct-2023,21100.6  LKR
28-Oct-2023,21100.6  LKR
27-Oct-2023,21095.8  LKR
26-Oct-2023,20838  LKR
